"","hotel","rating","price","distance","page","star","ctry"
"4018","Pallas Athena Grecotel Boutique","
                
                87 / 100
                Vurdering
                                1676 Anmeldelser
            ","
        â€Ž1.112 kr
    ","
                0,2 km til Centrum
 ",1,4,13
"4019","Ambrosia  Suites & Aparts","
                
                79 / 100
                Vurdering
                                324 Anmeldelser
            ","
        â€Ž505 kr
    ","
                0,2 km til Centrum
 ",1,4,13
"4020","Polis Grand","
                
                74 / 100
                Vurdering
                                1747 Anmeldelser
            ","
        â€Ž659 kr
    ","
                0,2 km til Centrum
 ",1,4,13
"4021","MeliÃ¡ Athens","
                
                81 / 100
                Vurdering
                                4233 Anmeldelser
            ","
        â€Ž992 kr
    ","
                0,3 km til Centrum
 ",1,4,13
"4022","Chic ","
                
                76 / 100
                Vurdering
                                1292 Anmeldelser
            ","
        â€Ž553 kr
    ","
                0,3 km til Centrum
 ",1,4,13
"4023","Titania","
                
                73 / 100
                Vurdering
                                2379 Anmeldelser
            ","
        â€Ž782 kr
    ","
                0,3 km til Centrum
 ",1,4,13
"4024","Fresh","
                
                84 / 100
                Vurdering
                                4317 Anmeldelser
            ","
        â€Ž894 kr
    ","
                0,3 km til Centrum
 ",1,4,13
"4025","Art Athens","
                
                76 / 100
                Vurdering
                                1339 Anmeldelser
            ","
        â€Ž373 kr
    ","
                0,4 km til Centrum
 ",1,4,13
"4026","Novus City","
                
                83 / 100
                Vurdering
                                1351 Anmeldelser
            ","
        â€Ž717 kr
    ","
                0,5 km til Centrum
 ",1,4,13
"4027","Novotel Athenes","
                
                80 / 100
                Vurdering
                                4220 Anmeldelser
            ","
        â€Ž609 kr
    ","
                0,7 km til Centrum
 ",1,4,13
"4028","Stanley","
                
                75 / 100
                Vurdering
                                3765 Anmeldelser
            ","
        â€Ž619 kr
    ","
                0,7 km til Centrum
 ",1,4,13
"4029","Athens Lotus","
                
                84 / 100
                Vurdering
                                2516 Anmeldelser
            ","
        â€Ž686 kr
    ","
                0,7 km til Centrum
 ",1,4,13
"4030","White Lotus","
                
                83 / 100
                Vurdering
                                191 Anmeldelser
            ","
        â€Ž613 kr
    ","
                0,7 km til Centrum
 ",1,4,13
"4031","Emporikon","
                
                85 / 100
                Vurdering
                                457 Anmeldelser
            ","
        â€Ž924 kr
    ","
                0,7 km til Centrum
 ",1,4,13
"4032","Astor","
                
                74 / 100
                Vurdering
                                3760 Anmeldelser
            ","
        â€Ž844 kr
    ","
                0,9 km til Centrum
 ",1,4,13
"4033","O&B Athens Boutique Hotel","
                
                91 / 100
                Vurdering
                                2899 Anmeldelser
            ","
        â€Ž1.142 kr
    ","
                0,9 km til Centrum
 ",1,4,13
"4034","Electra Athens","
                
                82 / 100
                Vurdering
                                2529 Anmeldelser
            ","
        â€Ž1.070 kr
    ","
                1,0 km til Centrum
 ",1,4,13
"4035","Athens Diamond","
                
                79 / 100
                Vurdering
                                1324 Anmeldelser
            ","
        â€Ž1.037 kr
    ","
                1,0 km til Centrum
 ",1,4,13
"4036","Amalia","
                
                89 / 100
                Vurdering
                                5457 Anmeldelser
            ","
        â€Ž1.041 kr
    ","
                1,2 km til Centrum
 ",1,4,13
"4037","New","
                
                91 / 100
                Vurdering
                                2558 Anmeldelser
            ","
        â€Ž1.465 kr
    ","
                1,3 km til Centrum
 ",1,4,13
"4038","Periscope","
                
                84 / 100
                Vurdering
                                729 Anmeldelser
            ","
        â€Ž1.166 kr
    ","
                1,5 km til Centrum
 ",1,4,13
"4039","AVA","
                
                95 / 100
                Vurdering
                                1970 Anmeldelser
            ","
        â€Ž1.290 kr
    ","
                1,5 km til Centrum
 ",1,4,13
"4040","AthensWas","
                
                90 / 100
                Vurdering
                                269 Anmeldelser
            ","
        â€Ž1.238 kr
    ","
                1,6 km til Centrum
 ",1,4,13
"4041","Airotel Parthenon","
                
                82 / 100
                Vurdering
                                4248 Anmeldelser
            ","
        â€Ž870 kr
    ","
                1,7 km til Centrum
 ",1,4,13
"4042","Athens Gate","
                
                89 / 100
                Vurdering
                                7144 Anmeldelser
            ","
        â€Ž1.006 kr
    ","
                1,7 km til Centrum
 ",1,4,13
"4043","Athens Zafolia","
                
                80 / 100
                Vurdering
                                874 Anmeldelser
            ","
        â€Ž898 kr
    ","
                1,7 km til Centrum
 ",2,4,13
"4044","Herodion","
                
                87 / 100
                Vurdering
                                4379 Anmeldelser
            ","
        â€Ž1.232 kr
    ","
                1,7 km til Centrum
 ",2,4,13
"4045","Hera Hotel","
                
                84 / 100
                Vurdering
                                1760 Anmeldelser
            ","
        â€Ž746 kr
    ","
                1,9 km til Centrum
 ",2,4,13
"4046","The Athenian Callirhoe","
                
                79 / 100
                Vurdering
                                1364 Anmeldelser
            ","
        â€Ž733 kr
    ","
                2,0 km til Centrum
 ",2,4,13
"4047","Delice Apartments","
                
                78 / 100
                Vurdering
                                622 Anmeldelser
            ","
        â€Ž479 kr
    ","
                2,2 km til Centrum
 ",2,4,13
"4048","Best Western Ilisia","
                
                69 / 100
                Vurdering
                                904 Anmeldelser
            ","
        â€Ž489 kr
    ","
                2,3 km til Centrum
 ",2,4,13
"4049","Best Western Plus Embassy","
                
                79 / 100
                Vurdering
                                756 Anmeldelser
            ","
        â€Ž748 kr
    ","
                2,4 km til Centrum
 ",2,4,13
"4050","Andromeda Suites Athens","
                
                87 / 100
                Vurdering
                                346 Anmeldelser
            ","
        â€Ž780 kr
    ","
                2,5 km til Centrum
 ",2,4,13
"4051","Golden Age","
                
                82 / 100
                Vurdering
                                1637 Anmeldelser
            ","
        â€Ž776 kr
    ","
                2,5 km til Centrum
 ",2,4,13
"4052","Airotel Alexandros","
                
                78 / 100
                Vurdering
                                1750 Anmeldelser
            ","
        â€Ž644 kr
    ","
                2,5 km til Centrum
 ",2,4,13
"4053","Ilissos","
                
                78 / 100
                Vurdering
                                2579 Anmeldelser
            ","
        â€Ž390 kr
    ","
                2,6 km til Centrum
 ",2,4,13
"4054","Airotel Stratos Vassilikos","
                
                83 / 100
                Vurdering
                                2084 Anmeldelser
            ","
        â€Ž705 kr
    ","
                2,7 km til Centrum
 ",2,4,13
"4055","JK","
                
                76 / 100
                Vurdering
                                194 Anmeldelser
            ","
        â€Ž520 kr
    ","
                3,0 km til Centrum
 ",2,4,13
"4056","President ","
                
                75 / 100
                Vurdering
                                5510 Anmeldelser
            ","
        â€Ž589 kr
    ","
                3,2 km til Centrum
 ",2,4,13
"4057","Athens Atrium Hotel & Suites","
                
                78 / 100
                Vurdering
                                1290 Anmeldelser
            ","
        â€Ž947 kr
    ","
                3,4 km til Centrum
 ",2,4,13
"4058","Coral Athens","
                
                77 / 100
                Vurdering
                                1278 Anmeldelser
            ","
        â€Ž830 kr
    ","
                7,0 km til Athen
 ",2,4,13
"4059","Civitel Olympic","
                
                79 / 100
                Vurdering
                                291 Anmeldelser
            ","
        â€Ž870 kr
    ","
                8,6 km til Athen
 ",2,4,13
"4060","Tropical","
                
                74 / 100
                Vurdering
                                845 Anmeldelser
            ","
        â€Ž503 kr
    ","
                8,8 km til Athen
 ",2,4,13
"4061","Piraeus Î•fplias","
                
                81 / 100
                Vurdering
                                224 Anmeldelser
            ","
        â€Ž617 kr
    ","
                9,3 km til Athen
 ",2,4,13
"4062","Civitel Attik","
                
                80 / 100
                Vurdering
                                537 Anmeldelser
            ","
        â€Ž666 kr
    ","
                9,4 km til Athen
 ",2,4,13
"4063","Radisson Blu Park Hotel, Athens","
                
                79 / 100
                Vurdering
                                2220 Anmeldelser
            ","
        â€Ž983 kr
    ","
                0,9 km til Centrum
 ",1,5,13
"4064","NJV Athens Plaza","
                
                81 / 100
                Vurdering
                                2165 Anmeldelser
            ","
        â€Ž1.227 kr
    ","
                1,0 km til Centrum
 ",1,5,13
"4065","King George a Luxury Collection","
                
                90 / 100
                Vurdering
                                1140 Anmeldelser
            ","
        â€Ž2.225 kr
    ","
                1,0 km til Centrum
 ",1,5,13
"4066","Grande Bretagne a Luxury Collection","
                
                90 / 100
                Vurdering
                                878 Anmeldelser
            ","
        â€Ž2.645 kr
    ","
                1,1 km til Centrum
 ",1,5,13
"4067","Electra Palace","
                
                88 / 100
                Vurdering
                                5552 Anmeldelser
            ","
        â€Ž1.550 kr
    ","
                1,2 km til Centrum
 ",1,5,13
"4068","Saint George Lycabettus","
                
                76 / 100
                Vurdering
                                2660 Anmeldelser
            ","
        â€Ž1.189 kr
    ","
                1,3 km til Centrum
 ",1,5,13
"4069","Royal Olympic","
                
                82 / 100
                Vurdering
                                7890 Anmeldelser
            ","
        â€Ž1.097 kr
    ","
                1,8 km til Centrum
 ",1,5,13
"4070","Divani  Palace Acropolis","
                
                79 / 100
                Vurdering
                                3139 Anmeldelser
            ","
        â€Ž1.076 kr
    ","
                1,8 km til Centrum
 ",1,5,13
"4071","Hilton Athens","
                
                83 / 100
                Vurdering
                                3972 Anmeldelser
            ","
        â€Ž1.180 kr
    ","
                2,1 km til Centrum
 ",1,5,13
"4072","Divani Caravel","
                
                82 / 100
                Vurdering
                                2506 Anmeldelser
            ","
        â€Ž1.255 kr
    ","
                2,3 km til Centrum
 ",1,5,13
"4073","Holiday Suites","
                
                86 / 100
                Vurdering
                                574 Anmeldelser
            ","
        â€Ž923 kr
    ","
                2,4 km til Centrum
 ",1,5,13
"4074","Crowne Plaza  Athens City Centre","
                
                81 / 100
                Vurdering
                                1243 Anmeldelser
            ","
        â€Ž1.110 kr
    ","
                2,5 km til Centrum
 ",1,5,13
"4075","Athenaeum Intercontinental","
                
                82 / 100
                Vurdering
                                2637 Anmeldelser
            ","
        â€Ž1.256 kr
    ","
                2,8 km til Centrum
 ",1,5,13
"4076","Ledra Athens","
                
                80 / 100
                Vurdering
                                1677 Anmeldelser
            ","
        â€Ž1.010 kr
    ","
                3,1 km til Centrum
 ",1,5,13
"4077","Metropolitan Hotel Athens","
                
                73 / 100
                Vurdering
                                662 Anmeldelser
            ","
        â€Ž895 kr
    ","
                5,5 km til Centrum
 ",1,5,13
"4078","Piraeus Theoxenia","
                
                81 / 100
                Vurdering
                                1944 Anmeldelser
            ","
        â€Ž678 kr
    ","
                6,9 km til Athen
 ",1,5,13
"4079","Bristol","
                
                68 / 100
                Vurdering
                                1613 Anmeldelser
            ","
        â€Ž634 kr
    ","
                1,0 km til Centrum
 ",1,2,14
"4080","Zurich","
                
                61 / 100
                Vurdering
                                267 Anmeldelser
            ","
        â€Ž559 kr
    ","
                1,1 km til Centrum
 ",1,2,14
"4081","ibis Luxembourg AÃ©roport","
                
                72 / 100
                Vurdering
                                2738 Anmeldelser
            ","
        â€Ž444 kr
    ","
                5,8 km til Centrum
 ",1,2,14
"4082","Vauban","
                
                80 / 100
                Vurdering
                                972 Anmeldelser
            ","
        â€Ž858 kr
    ","
                0,1 km til Centrum
 ",1,3,14
"4083","Francais","
                
                78 / 100
                Vurdering
                                805 Anmeldelser
            ","
        â€Ž982 kr
    ","
                0,1 km til Centrum
 ",1,3,14
"4084","Parc Plaza","
                
                75 / 100
                Vurdering
                                1156 Anmeldelser
            ","
        â€Ž729 kr
    ","
                0,7 km til Centrum
 ",1,3,14
"4085","Parc Belle-Vue","
                
                75 / 100
                Vurdering
                                1359 Anmeldelser
            ","
        â€Ž656 kr
    ","
                0,7 km til Centrum
 ",1,3,14
"4086","Park Inn by Radisson Luxembourg City","
                
                87 / 100
                Vurdering
                                3063 Anmeldelser
            ","
        â€Ž628 kr
    ","
                0,9 km til Centrum
 ",1,3,14
"4087","Victor Hugo","
                
                79 / 100
                Vurdering
                                48 Anmeldelser
            ","
        â€Ž2.649 kr
    ","
                1,0 km til Centrum
 ",1,3,14
"4088","Le ChÃ¢telet","
                
                73 / 100
                Vurdering
                                1210 Anmeldelser
            ","
        â€Ž738 kr
    ","
                1,0 km til Centrum
 ",1,3,14
"4089","Carlton","
                
                82 / 100
                Vurdering
                                1445 Anmeldelser
            ","
        â€Ž1.011 kr
    ","
                1,0 km til Centrum
 ",1,3,14
"4090","ibis Styles Luxembourg Centre Gare","
                
                68 / 100
                Vurdering
                                2492 Anmeldelser
            ","
        â€Ž564 kr
    ","
                1,1 km til Centrum
 ",1,3,14
"4091","Yasha","
                
                62 / 100
                Vurdering
                                602 Anmeldelser
            ","
        â€Ž670 kr
    ","
                1,1 km til Centrum
 ",1,3,14
"4092","Empire","
                
                75 / 100
                Vurdering
                                2295 Anmeldelser
            ","
        â€Ž709 kr
    ","
                1,2 km til Centrum
 ",1,3,14
"4093","Coque","
                
                81 / 100
                Vurdering
                                496 Anmeldelser
            ","
        â€Ž756 kr
    ","
                2,3 km til Centrum
 ",1,3,14
"4094","Pax","
                
                84 / 100
                Vurdering
                                841 Anmeldelser
            ","
        â€Ž640 kr
    ","
                2,4 km til Centrum
 ",1,3,14
"4095","Sieweburen","
                
                77 / 100
                Vurdering
                                172 Anmeldelser
            ","
        â€Ž1.011 kr
    ","
                2,9 km til Centrum
 ",1,3,14
"4096","Le Dany","
                
                72 / 100
                Vurdering
                                410 Anmeldelser
            ","
        â€Ž589 kr
    ","
                3,7 km til Luxembourg By
 ",1,3,14
"4097","Mon Plaisir","
                
                76 / 100
                Vurdering
                                1037 Anmeldelser
            ","
        â€Ž738 kr
    ","
                5,0 km til Luxembourg By
 ",1,3,14
"4098","Re'ser Stuff","
                
                78 / 100
                Vurdering
                                277 Anmeldelser
            ","
        â€Ž809 kr
    ","
                7,7 km til Luxembourg By
 ",1,3,14
"4099","ibis Luxembourg Sud","
                
                71 / 100
                Vurdering
                                2358 Anmeldelser
            ","
        â€Ž418 kr
    ","
                8,8 km til Luxembourg By
 ",1,3,14
"4100","Grand Hotel Cravat","
                
                74 / 100
                Vurdering
                                2179 Anmeldelser
            ","
        â€Ž799 kr
    ","
                0,1 km til Centrum
 ",1,4,14
"4101","Parc Beaux Arts","
                
                82 / 100
                Vurdering
                                531 Anmeldelser
            ","
        â€Ž1.141 kr
    ","
                0,2 km til Centrum
 ",1,4,14
"4102","Golden Tulip Central Molitor","
                
                75 / 100
                Vurdering
                                1560 Anmeldelser
            ","
        â€Ž741 kr
    ","
                0,7 km til Centrum
 ",1,4,14
"4103","Novotel Luxembourg Centre","
                
                83 / 100
                Vurdering
                                2481 Anmeldelser
            ","
        â€Ž666 kr
    ","
                0,8 km til Centrum
 ",1,4,14
"4104","Christophe Colomb","
                
                77 / 100
                Vurdering
                                1239 Anmeldelser
            ","
        â€Ž708 kr
    ","
                0,8 km til Centrum
 ",1,4,14
"4105","Maho","
                
                84 / 100
                Vurdering
                                250 Anmeldelser
            ","
        â€Ž1.007 kr
    ","
                1,0 km til Centrum
 ",1,4,14
"4106","MeliÃ¡ Luxembourg","
                
                87 / 100
                Vurdering
                                2790 Anmeldelser
            ","
        â€Ž850 kr
    ","
                1,0 km til Centrum
 ",1,4,14
"4107","Best Western Plus Grand Hotel Victor Hugo","
                
                77 / 100
                Vurdering
                                1380 Anmeldelser
            ","
        â€Ž559 kr
    ","
                1,0 km til Centrum
 ",1,4,14
"4108","City","
                
                75 / 100
                Vurdering
                                1329 Anmeldelser
            ","
        â€Ž821 kr
    ","
                1,0 km til Centrum
 ",1,4,14
"4109","Mercure Grand Hotel Alfa Luxembourg","
                
                76 / 100
                Vurdering
                                1647 Anmeldelser
            ","
        â€Ž517 kr
    ","
                1,1 km til Centrum
 ",1,4,14
"4110","Best Western International","
                
                71 / 100
                Vurdering
                                988 Anmeldelser
            ","
        â€Ž791 kr
    ","
                1,1 km til Centrum
 ",1,4,14
"4111","Grey EX Bootik","
                
                77 / 100
                Vurdering
                                1327 Anmeldelser
            ","
        â€Ž649 kr
    ","
                1,1 km til Centrum
 ",1,4,14
"4112","Parc Belair","
                
                79 / 100
                Vurdering
                                525 Anmeldelser
            ","
        â€Ž803 kr
    ","
                1,5 km til Centrum
 ",1,4,14
"4113","Novotel Luxembourg Kirchberg","
                
                80 / 100
                Vurdering
                                2200 Anmeldelser
            ","
        â€Ž738 kr
    ","
                1,5 km til Centrum
 ",1,4,14
"4114","Novotel Suites Luxembourg","
                
                82 / 100
                Vurdering
                                1403 Anmeldelser
            ","
        â€Ž738 kr
    ","
                1,7 km til Centrum
 ",1,4,14
"4115","DoubleTree by Hilton Luxembourg","
                
                81 / 100
                Vurdering
                                5425 Anmeldelser
            ","
        â€Ž818 kr
    ","
                3,5 km til Centrum
 ",1,4,14
"4116","Alvisse Parc","
                
                78 / 100
                Vurdering
                                4934 Anmeldelser
            ","
        â€Ž865 kr
    ","
                3,7 km til Centrum
 ",1,4,14
"4117","Alzinn","
                
                85 / 100
                Vurdering
                                282 Anmeldelser
            ","
        â€Ž973 kr
    ","
                4,5 km til Luxembourg By
 ",1,4,14
"4118","NH Luxembourg","
                
                75 / 100
                Vurdering
                                1696 Anmeldelser
            ","
        â€Ž449 kr
    ","
                7,0 km til Centrum
 ",1,4,14
"4119","Le Place d'Armes","
                
                90 / 100
                Vurdering
                                701 Anmeldelser
            ","
        â€Ž1.645 kr
    ","
                0,2 km til Centrum
 ",1,5,14
"4120","Le Royal","
                
                88 / 100
                Vurdering
                                1561 Anmeldelser
            ","
        â€Ž1.387 kr
    ","
                0,5 km til Centrum
 ",1,5,14
"4121","Sofitel Luxembourg Le Grand Ducal","
                
                90 / 100
                Vurdering
                                2297 Anmeldelser
            ","
        â€Ž1.106 kr
    ","
                0,7 km til Centrum
 ",1,5,14
"4122","Sofitel Luxembourg Europe","
                
                86 / 100
                Vurdering
                                1630 Anmeldelser
            ","
        â€Ž835 kr
    ","
                1,5 km til Centrum
 ",1,5,14
"4123","La Legende","
                
                82 / 100
                Vurdering
                                1122 Anmeldelser
            ","
        â€Ž671 kr
    ","
                0,1 km til Centrum
 ",1,2,15
"4124","Saint Nicolas","
                
                74 / 100
                Vurdering
                                5678 Anmeldelser
            ","
        â€Ž606 kr
    ","
                0,2 km til Centrum
 ",1,2,15
"4125","The Moon","
                
                72 / 100
                Vurdering
                                3026 Anmeldelser
            ","
        â€Ž449 kr
    ","
                0,2 km til Centrum
 ",1,2,15
"4126","OpÃ©ra","
                
                73 / 100
                Vurdering
                                2496 Anmeldelser
            ","
        â€Ž589 kr
    ","
                0,3 km til Centrum
 ",1,2,15
"4127","La Madeleine Grand Place Brussels","
                
                66 / 100
                Vurdering
                                2102 Anmeldelser
            ","
        â€Ž575 kr
    ","
                0,3 km til Centrum
 ",1,2,15
"4128","Eazires Mirabeau","
                
                63 / 100
                Vurdering
                                1960 Anmeldelser
            ","
        â€Ž542 kr
    ","
                0,4 km til Centrum
 ",1,2,15
"4129","Brussels Welcome","
                
                87 / 100
                Vurdering
                                1643 Anmeldelser
            ","
        â€Ž932 kr
    ","
                0,6 km til Centrum
 ",1,2,15
"4130","Le Grand Colombier","
                
                65 / 100
                Vurdering
                                534 Anmeldelser
            ","
        â€Ž448 kr
    ","
                0,7 km til Centrum
 ",1,2,15
"4131","Auberge  Autrichienne","
                
                53 / 100
                Vurdering
                                247 Anmeldelser
            ","
        â€Ž487 kr
    ","
                1,0 km til Centrum
 ",1,2,15
"4132","Theater","
                
                69 / 100
                Vurdering
                                3911 Anmeldelser
            ","
        â€Ž556 kr
    ","
                1,1 km til Centrum
 ",1,2,15
"4133","De France","
                
                64 / 100
                Vurdering
                                1225 Anmeldelser
            ","
        â€Ž515 kr
    ","
                1,2 km til Centrum
 ",1,2,15
"4134","Albergo","
                
                63 / 100
                Vurdering
                                876 Anmeldelser
            ","
        â€Ž492 kr
    ","
                1,3 km til Centrum
 ",1,2,15
"4135","Aparthotel Adagio Access Brussels Europe","
                
                83 / 100
                Vurdering
                                2688 Anmeldelser
            ","
        â€Ž515 kr
    ","
                1,4 km til Centrum
 ",1,2,15
"4136","Albert","
                
                61 / 100
                Vurdering
                                1382 Anmeldelser
            ","
        â€Ž589 kr
    ","
                1,9 km til Centrum
 ",1,2,15
"4137","Derby","
                
                71 / 100
                Vurdering
                                875 Anmeldelser
            ","
        â€Ž507 kr
    ","
                3,5 km til Centrum
 ",1,2,15
"4138","Lambeau","
                
                70 / 100
                Vurdering
                                261 Anmeldelser
            ","
        â€Ž589 kr
    ","
                3,9 km til Centrum
 ",1,2,15
"4139","Evergreen Brussels","
                
                65 / 100
                Vurdering
                                246 Anmeldelser
            ","
        â€Ž410 kr
    ","
                4,6 km til Centrum
 ",1,2,15
"4140","Eurocap","
                
                67 / 100
                Vurdering
                                997 Anmeldelser
            ","
        â€Ž410 kr
    ","
                4,8 km til Centrum
 ",1,2,15
"4141","Le Centenaire","
                
                63 / 100
                Vurdering
                                313 Anmeldelser
            ","
        â€Ž588 kr
    ","
                4,9 km til Centrum
 ",1,2,15
"4142","Floris Grand Place","
                
                68 / 100
                Vurdering
                                72 Anmeldelser
            ","
        â€Ž613 kr
    ","
                0,2 km til Centrum
 ",1,3,15
"4143","Mozart","
                
                63 / 100
                Vurdering
                                3523 Anmeldelser
            ","
        â€Ž867 kr
    ","
                0,2 km til Centrum
 ",1,3,15
"4144","Aris Grand Place Brussels","
                
                74 / 100
                Vurdering
                                4381 Anmeldelser
            ","
        â€Ž674 kr
    ","
                0,2 km til Centrum
 ",1,3,15
"4145","Matignon","
                
                67 / 100
                Vurdering
                                1246 Anmeldelser
            ","
        â€Ž619 kr
    ","
                0,2 km til Centrum
 ",1,3,15
"4146","Floris - Arlequin Grand'Place","
                
                73 / 100
                Vurdering
                                5120 Anmeldelser
            ","
        â€Ž580 kr
    ","
                0,2 km til Centrum
 ",1,3,15
"4147","Alma Grand Place Brussels","
                
                75 / 100
                Vurdering
                                2792 Anmeldelser
            ","
        â€Ž674 kr
    ","
                0,2 km til Centrum
 ",1,3,15
"4148","ApartmentsApart - Brussels","
                
                79 / 100
                Vurdering
                                2617 Anmeldelser
            ","
        â€Ž916 kr
    ","
                0,2 km til Centrum
 ",1,3,15
"4149","ibis Brussels off Grand Place","
                
                80 / 100
                Vurdering
                                5546 Anmeldelser
            ","
        â€Ž664 kr
    ","
                0,3 km til Centrum
 ",1,3,15
"4150","Aparthotel Adagio Brussels Centre Monnaie","
                
                83 / 100
                Vurdering
                                3140 Anmeldelser
            ","
        â€Ž738 kr
    ","
                0,4 km til Centrum
 ",1,3,15
"4151","Bedford Hotel & Congress Centre","
                
                76 / 100
                Vurdering
                                15020 Anmeldelser
            ","
        â€Ž810 kr
    ","
                0,4 km til Centrum
 ",1,3,15
"4152","The Opera Residence","
                
                83 / 100
                Vurdering
                                814 Anmeldelser
            ","
        â€Ž1.025 kr
    ","
                0,4 km til Centrum
 ",1,3,15
"4153","ibis Brussels Centre St Catherine","
                
                74 / 100
                Vurdering
                                5281 Anmeldelser
            ","
        â€Ž440 kr
    ","
                0,4 km til Centrum
 ",1,3,15
"4154","Novotel Brussels Centre Tour Noire","
                
                85 / 100
                Vurdering
                                4208 Anmeldelser
            ","
        â€Ž888 kr
    ","
                0,4 km til Centrum
 ",1,3,15
"4155","Atlas Hotel Brussels","
                
                82 / 100
                Vurdering
                                2705 Anmeldelser
            ","
        â€Ž741 kr
    ","
                0,5 km til Centrum
 ",1,3,15
"4156","Astrid Centre","
                
                72 / 100
                Vurdering
                                3283 Anmeldelser
            ","
        â€Ž575 kr
    ","
                0,5 km til Centrum
 ",1,3,15
"4157","9HÃ´tel Central","
                
                85 / 100
                Vurdering
                                3000 Anmeldelser
            ","
        â€Ž1.246 kr
    ","
                0,6 km til Centrum
 ",1,3,15
"4158","Ares Brussels City Centre","
                
                59 / 100
                Vurdering
                                694 Anmeldelser
            ","
        â€Ž412 kr
    ","
                0,7 km til Centrum
 ",1,3,15
"4159","Citadines Bruxelles Sainte Catherine","
                
                80 / 100
                Vurdering
                                2837 Anmeldelser
            ","
        â€Ž592 kr
    ","
                0,7 km til Centrum
 ",1,3,15
"4160","EspÃ©rance","
                
                83 / 100
                Vurdering
                                1467 Anmeldelser
            ","
        â€Ž565 kr
    ","
                0,7 km til Centrum
 ",1,3,15
"4161","Queen Anne","
                
                73 / 100
                Vurdering
                                4030 Anmeldelser
            ","
        â€Ž541 kr
    ","
                0,9 km til Centrum
 ",1,3,15
"4162","Belvue","
                
                78 / 100
                Vurdering
                                342 Anmeldelser
            ","
        â€Ž365 kr
    ","
                1,0 km til Centrum
 ",1,3,15
"4163","Best Western Royal Centre","
                
                75 / 100
                Vurdering
                                3084 Anmeldelser
            ","
        â€Ž574 kr
    ","
                1,0 km til Centrum
 ",1,3,15
"4164","Floris Ustel Midi","
                
                65 / 100
                Vurdering
                                4252 Anmeldelser
            ","
        â€Ž439 kr
    ","
                1,0 km til Centrum
 ",1,3,15
"4165","Van Belle","
                
                65 / 100
                Vurdering
                                4440 Anmeldelser
            ","
        â€Ž441 kr
    ","
                1,1 km til Centrum
 ",1,3,15
"4166","Belmont","
                
                69 / 100
                Vurdering
                                1153 Anmeldelser
            ","
        â€Ž1.947 kr
    ","
                1,1 km til Centrum
 ",1,3,15
"4167","Chambord","
                
                74 / 100
                Vurdering
                                3018 Anmeldelser
            ","
        â€Ž582 kr
    ","
                1,1 km til Centrum
 ",2,3,15
"4168","Eazires Agenda Midi","
                
                66 / 100
                Vurdering
                                487 Anmeldelser
            ","
        â€Ž485 kr
    ","
                1,2 km til Centrum
 ",2,3,15
"4169","Du CongrÃ©s","
                
                75 / 100
                Vurdering
                                3536 Anmeldelser
            ","
        â€Ž480 kr
    ","
                1,2 km til Centrum
 ",2,3,15
"4170","Des Colonies","
                
                70 / 100
                Vurdering
                                1845 Anmeldelser
            ","
        â€Ž559 kr
    ","
                1,2 km til Centrum
 ",2,3,15
"4171","Siru","
                
                68 / 100
                Vurdering
                                1700 Anmeldelser
            ","
        â€Ž485 kr
    ","
                1,2 km til Centrum
 ",2,3,15
"4172","Mercure Brussels Centre Midi","
                
                82 / 100
                Vurdering
                                1432 Anmeldelser
            ","
        â€Ž738 kr
    ","
                1,2 km til Centrum
 ",2,3,15
"4173","Argus","
                
                75 / 100
                Vurdering
                                813 Anmeldelser
            ","
        â€Ž571 kr
    ","
                1,3 km til Bruxelles
 ",2,3,15
"4174","Continental","
                
                62 / 100
                Vurdering
                                1323 Anmeldelser
            ","
        â€Ž895 kr
    ","
                1,3 km til Centrum
 ",2,3,15
"4175","Aqua HÃ´tel - Brussels","
                
                82 / 100
                Vurdering
                                1170 Anmeldelser
            ","
        â€Ž665 kr
    ","
                1,3 km til Bruxelles
 ",2,3,15
"4176","Citadines Bruxelles - Toison d'Or","
                
                78 / 100
                Vurdering
                                1934 Anmeldelser
            ","
        â€Ž562 kr
    ","
                1,3 km til Centrum
 ",2,3,15
"4177","Scandinavia","
                
                56 / 100
                Vurdering
                                486 Anmeldelser
            ","
        â€Ž578 kr
    ","
                1,3 km til Centrum
 ",2,3,15
"4178","Slina Hotel Brussels ","
                
                74 / 100
                Vurdering
                                337 Anmeldelser
            ","
        â€Ž615 kr
    ","
                1,3 km til Bruxelles
 ",2,3,15
"4179","Best Western City Centre Bruxelles","
                
                68 / 100
                Vurdering
                                899 Anmeldelser
            ","
        â€Ž537 kr
    ","
                1,3 km til Centrum
 ",2,3,15
"4180","Euro Capital Brussels","
                
                73 / 100
                Vurdering
                                2184 Anmeldelser
            ","
        â€Ž485 kr
    ","
                1,4 km til Bruxelles
 ",2,3,15
"4181","Le Berger","
                
                78 / 100
                Vurdering
                                2644 Anmeldelser
            ","
        â€Ž502 kr
    ","
                1,4 km til Bruxelles
 ",2,3,15
"4182","Retro","
                
                82 / 100
                Vurdering
                                2208 Anmeldelser
            ","
        â€Ž373 kr
    ","
                1,4 km til Centrum
 ",2,3,15
"4183","Villa Royale","
                
                70 / 100
                Vurdering
                                3218 Anmeldelser
            ","
        â€Ž436 kr
    ","
                1,5 km til Centrum
 ",2,3,15
